"Activity type","Duration","From","To","Comment"
"Yoyo","00:26","2020-05-28 23:18","2020-05-28 23:44",
"Job Hunt: Leetcode","01:04","2020-05-28 22:12","2020-05-28 23:16",
"Relation","00:16","2020-05-28 21:55","2020-05-28 22:12",
"Job Hunt: Leetcode","00:11","2020-05-28 21:44","2020-05-28 21:55",
"Join Hunt: finding interviews ","00:47","2020-05-28 20:56","2020-05-28 21:44",
"Study: CS240","01:24","2020-05-28 19:32","2020-05-28 20:56",""
"Eat","00:59","2020-05-28 18:32","2020-05-28 19:32",""
"Sport","00:44","2020-05-28 17:47","2020-05-28 18:32",
"Entertainment","00:00","2020-05-28 17:46","2020-05-28 17:46",
"Yoyo","00:16","2020-05-28 17:30","2020-05-28 17:46",""
"Coop: wato pm","01:14","2020-05-28 16:11","2020-05-28 17:25",
"Yoyo","00:16","2020-05-28 15:55","2020-05-28 16:11",""
"Eat","00:58","2020-05-28 14:01","2020-05-28 15:00",""
"Coop: wato research","00:51","2020-05-28 13:09","2020-05-28 14:00",""
"Yoyo","00:19","2020-05-28 12:50","2020-05-28 13:09",
"Project Management","01:12","2020-05-28 11:37","2020-05-28 12:50",
"Coop: wato pm","00:00","2020-05-28 11:37","2020-05-28 11:37",
"MB","00:00","2020-05-28 11:37","2020-05-28 11:37",
"Eat","00:56","2020-05-28 10:28","2020-05-28 11:25",
"Read Japanese","00:10","2020-05-28 00:01","2020-05-28 00:11",
"Eat","00:03","2020-05-27 23:57","2020-05-28 00:01",
"Job Hunt: Leetcode","00:55","2020-05-27 23:00","2020-05-27 23:56",
"Job Hunt: Leetcode","00:03","2020-05-27 22:57","2020-05-27 23:00",
"Join Hunt: finding interviews ","00:40","2020-05-27 22:17","2020-05-27 22:57",
"Relation","01:29","2020-05-27 20:40","2020-05-27 22:10",
"Study: CS240","01:02","2020-05-27 19:35","2020-05-27 20:38",
"Yoyo","00:28","2020-05-27 19:06","2020-05-27 19:34",
"Entertainment","00:00","2020-05-27 19:06","2020-05-27 19:06",
"Coop: wato research","01:05","2020-05-27 17:55","2020-05-27 19:01",
"Coop: wato pm","00:00","2020-05-27 17:55","2020-05-27 17:55",
"Eat","01:02","2020-05-27 16:53","2020-05-27 17:55",
"Coop: wato research","00:15","2020-05-27 16:37","2020-05-27 16:52",""
"Yoyo","00:09","2020-05-27 16:28","2020-05-27 16:37",
"Random","00:13","2020-05-27 16:14","2020-05-27 16:28",
"Coop: wato pm","02:12","2020-05-27 13:53","2020-05-27 16:05",
"Stocks","00:10","2020-05-27 13:43","2020-05-27 13:53",
"Sleep regular","00:00","2020-05-27 13:40","2020-05-27 13:40",
"MB","00:00","2020-05-27 13:40","2020-05-27 13:40",
"Project Management","00:13","2020-05-27 13:29","2020-05-27 13:43",
"Sleep regular","00:00","2020-05-27 01:12","2020-05-27 01:12",
"New Novel","00:00","2020-05-27 01:12","2020-05-27 01:12",
"New Novel","00:00","2020-05-27 01:12","2020-05-27 01:12",
"Eye","00:00","2020-05-27 01:12","2020-05-27 01:12",
"Eye","00:00","2020-05-27 01:11","2020-05-27 01:12",
"Read Japanese","00:13","2020-05-27 01:11","2020-05-27 01:25",
"Join Hunt: finding interviews ","00:35","2020-05-27 00:32","2020-05-27 01:07",
"Relation","00:08","2020-05-27 00:24","2020-05-27 00:32",
"Job Hunt: Leetcode","00:23","2020-05-26 23:56","2020-05-27 00:19",
"Job Hunt: Leetcode","00:29","2020-05-26 23:12","2020-05-26 23:42",
"Study: CS240","01:03","2020-05-26 21:49","2020-05-26 22:53",
"Eat","01:25","2020-05-26 20:23","2020-05-26 21:49",
"Sport","00:21","2020-05-26 20:02","2020-05-26 20:23",
"Coop: wato research","03:36","2020-05-26 16:23","2020-05-26 20:00",
"Eat","01:03","2020-05-26 15:19","2020-05-26 16:23",
"Coop: wato pm","00:04","2020-05-26 15:15","2020-05-26 15:19",
"Coop: wato research","00:11","2020-05-26 15:03","2020-05-26 15:14",
"Coop: wato pm","00:11","2020-05-26 14:52","2020-05-26 15:03",
"Project Management","00:20","2020-05-26 14:31","2020-05-26 14:52",
"Coop: wato pm","00:45","2020-05-26 13:45","2020-05-26 14:30",""
"Project Management","00:20","2020-05-26 13:19","2020-05-26 13:40",
"Project Management","00:17","2020-05-26 01:40","2020-05-26 01:57",
"Read Japanese","00:11","2020-05-26 01:16","2020-05-26 01:28",
"Wash","00:15","2020-05-26 01:00","2020-05-26 01:16",
"Study: CS240","00:52","2020-05-26 00:07","2020-05-26 00:59",
"Job Hunt: Leetcode","00:31","2020-05-25 23:33","2020-05-26 00:04",
"Job Hunt: Leetcode","00:02","2020-05-25 23:24","2020-05-25 23:26",
"Relation","00:00","2020-05-25 22:54","2020-05-25 22:54",
"Join Hunt: finding interviews ","00:43","2020-05-25 22:40","2020-05-25 23:24",""
"Eat","01:27","2020-05-25 20:11","2020-05-25 21:38",
"Random","00:10","2020-05-25 20:01","2020-05-25 20:11",
"Relation","00:04","2020-05-25 19:56","2020-05-25 20:01",
"Relation","01:13","2020-05-25 18:41","2020-05-25 19:54",
"New Novel","00:00","2020-05-25 18:29","2020-05-25 18:29",
"Sleep regular","00:00","2020-05-25 18:29","2020-05-25 18:29",
"MB","00:00","2020-05-25 18:29","2020-05-25 18:29",
"Eye","00:00","2020-05-25 18:28","2020-05-25 18:29",
"Eye","00:00","2020-05-25 18:28","2020-05-25 18:28",
"Project Management","00:13","2020-05-25 18:27","2020-05-25 18:41",
"Random","00:21","2020-05-25 18:06","2020-05-25 18:27",
"Coop: wato research","00:03","2020-05-25 18:03","2020-05-25 18:06",
"Sleep","02:02","2020-05-25 16:00","2020-05-25 18:02",
"Eat","01:36","2020-05-25 14:23","2020-05-25 15:59",
"Coop: wato research","00:13","2020-05-25 14:10","2020-05-25 14:23",
"Sing","00:15","2020-05-25 13:54","2020-05-25 14:10",
"Coop: wato research","00:48","2020-05-25 13:06","2020-05-25 13:54",
"Coop: wato pm","01:32","2020-05-25 11:34","2020-05-25 13:06",
"Stocks","00:03","2020-05-25 11:30","2020-05-25 11:34",
"Random","01:14","2020-05-25 10:15","2020-05-25 11:29",
"Eat","00:37","2020-05-25 09:38","2020-05-25 10:15",
"Eat","03:03","2020-05-24 22:58","2020-05-25 02:01",

"Activity type","Duration","%"
"Eat","12:14","24.28"
"Coop: wato research","07:04","14.01"
"Coop: wato pm","05:59","11.87"
"Study: CS240","04:22","8.69"
"Job Hunt: Leetcode","03:41","7.30"
"Relation","03:12","6.37"
"Join Hunt: finding interviews ","02:46","5.50"
"Project Management","02:38","5.25"
"Sleep","02:02","4.06"
"Random","01:59","3.93"
"Yoyo","01:55","3.82"
"Sport","01:05","2.17"
"Read Japanese","00:35","1.18"
"Sing","00:15","0.53"
"Wash","00:15","0.52"
"Stocks","00:14","0.47"
"Eye","00:00","0.02"
"New Novel","00:00","0.01"
"MB","00:00","0.01"
"Sleep regular","00:00","0.00"
"Total","50:27","100.00"
